alpha_deg,cd,cl,cm_quarter,l_over_d
-4.05,0.00700,-0.4280,0.0000,-61.14
-2.00,0.00650,-0.2150,0.0000,-33.08
0.05,0.00650,0.0040,0.0000,0.62
1.98,0.00680,0.2080,-0.0020,30.59
4.18,0.00760,0.4520,0.0030,59.47
6.20,0.00680,0.6630,0.0040,97.50
8.22,0.00800,0.8800,0.0050,110.00
10.18,0.01050,1.0880,0.0070,103.62
11.08,0.01140,1.1800,0.0080,103.51
12.25,0.01250,1.2920,0.0090,103.36
13.10,0.01300,1.3680,0.0110,105.23
14.28,0.01620,1.4580,0.0150,90.00
15.20,0.01870,1.5280,0.0180,81.71
16.18,0.02180,1.5900,0.0210,72.94
16.90,0.02440,1.6180,0.0230,66.31
17.35,0.02750,1.6600,0.0250,60.36
